SLCC,frase
Phylosophy How,Come si applica in pratica?
Phylosophy How,Dammi indicazioni operative
Phylosophy Why,Perché dovrei farlo?
Phylosophy Why,Qual è il senso di tutto questo?
Phylosophy Why,Voglio capire il motivo
Phylosophy Why,A cosa serve davvero?
Phylosophy Why,Qual è lo scopo di questa scelta?
Phylosophy Why,Perché è importante?
Phylosophy Why,Cosa c'è dietro questa decisione?
Phylosophy Why,Qual è il valore di tutto ciò?
Phylosophy Why,"Prima di agire, voglio capire il perché"
Phylosophy Why,Che significato ha per me?
Consistency Alignment,Mangiare bene è una cosa importante
Consistency Alignment,Questo rispecchia esattamente ciò in cui credo
Consistency Alignment,È coerente con i miei valori
Consistency Alignment,Va tutto nella direzione giusta per me
Consistency Alignment,Mi ritrovo pienamente in questo
Consistency Alignment,È proprio quello in cui credo
Consistency Alignment,Fa parte di ciò che considero giusto
Consistency Alignment,Sento che è la cosa corretta da fare
Consistency Alignment,Rispetta i principi a cui tengo
Consistency Alignment,È in linea con il mio modo di vedere le cose
Consistency Conflict,Lavorare senza mangiare è intollerabile
Consistency Conflict,Questo va contro tutto ciò in cui credo
Consistency Conflict,Non è coerente con i miei valori
Consistency Conflict,Mi crea un forte conflitto interiore
Consistency Conflict,"Non riesco ad accettarlo, va contro i miei principi"
Consistency Conflict,È in contraddizione con quello che penso giusto
Consistency Conflict,Non posso tollerare una cosa simile
Consistency Conflict,Sento che è sbagliato rispetto a ciò che sono
Consistency Conflict,Stride con il mio modo di vedere le cose
Consistency Conflict,Non rispetta ciò che per me è fondamentale
Depth Appearance,Non sto molto bene
Depth Appearance,Sono soddisfatto
Depth Appearance,Sembra tutto a posto
Depth Appearance,"Va tutto bene, grazie"
Depth Appearance,Oggi sono un po' stanco
Depth Appearance,Sono contento del risultato
Depth Appearance,Mi sento tranquillo
Depth Appearance,Va tutto come previsto
Depth Appearance,Sono nervoso
Depth Appearance,Sto passando una brutta giornata
Depth Essence,Non sto bene perché ho avuto un trauma per questo
Depth Essence,Sono soddisfatto perché finalmente ho raggiunto un obiettivo che inseguivo da anni
Depth Essence,Sono stanco perché non dormo bene da quando è successo quel fatto
Depth Essence,Sono nervoso perché temo di deludere le aspettative di mio padre
Depth Essence,Sono contento perché questo risultato conferma il mio valore
Depth Essence,Mi sento tranquillo perché ho finalmente chiuso un capitolo doloroso
Depth Essence,Sto male perché mi sento in colpa per una scelta passata
Depth Essence,Va tutto come previsto perché ho lavorato sulle mie paure
Depth Essence,Sono felice perché ho superato una ferita che mi portavo dietro da tempo
Depth Essence,Reagisco così perché in fondo temo di non essere abbastanza
Moment Future,Domani
Moment Future,Faremo
Moment Future,Proiettiamo
Moment Future,Il prossimo passo sarà
Moment Future,Guardiamo avanti
Moment Future,Nei prossimi mesi
Moment Future,Quello che verrà
Moment Future,Puntiamo a diventare
Moment Future,Tra qualche anno vorrei
Moment Future,Pensiamo a dove vogliamo arrivare
Moment Past,Quando le cose erano come una volta
Moment Past,Mi ricordo che facevamo sempre
Moment Past,Come una volta
Moment Past,Ai vecchi tempi
Moment Past,Ripensando a quello che è successo
Moment Past,Ricordo ancora quando
Moment Past,Un tempo si faceva così
Moment Past,Guardando indietro
Moment Past,Mi rifaccio a quello che abbiamo già vissuto
Moment Past,Era già successo in passato
Motivation Gain,Ottenere/raggiungere un obiettivo
Motivation Gain,Voglio conquistare questo risultato
Motivation Gain,Punto a guadagnarci qualcosa
Motivation Gain,Mi motiva l'idea di crescere
Motivation Gain,Voglio arrivare più in alto
Motivation Gain,Cerco un vantaggio in più
Motivation Gain,Voglio migliorare la mia situazione
Motivation Gain,Mi spinge il desiderio di ottenere di più
Motivation Gain,Voglio raggiungere il massimo risultato possibile
Motivation Gain,Sono attratto dall'opportunità di guadagnare
Motivation Loss,Voglio evitare questo problema
Motivation Loss,Voglio allontanarmi da questa situazione
Motivation Loss,Non voglio più soffrire così
Motivation Loss,Devo scappare da questo rischio
Motivation Loss,Voglio evitare di perdere quello che ho
Motivation Loss,Mi muovo per non ritrovarmi in difficoltà
Motivation Loss,Non voglio più vivere questo disagio
Motivation Loss,Preferisco prevenire piuttosto che rischiare
Motivation Loss,Voglio togliermi da questo fastidio
Motivation Loss,Mi spinge la paura di perdere qualcosa
Operation Options,Iniziamo e poi vediamo
Operation Options,Potremmo fare..
Operation Options,Strada facendo vediamo
Operation Options,Vediamo come va e ci adattiamo
Operation Options,Non serve un piano rigido
Operation Options,Proviamo diverse strade
Operation Options,Ci lasciamo aperte più possibilità
Operation Options,Decidiamo man mano
Operation Options,Improvvisiamo un po'
Operation Options,Aggiustiamo il tiro strada facendo
Operation Procedure,Dimmi esattamente come fare
Operation Procedure,Per prima cosa
Operation Procedure,Quando abbiamo finito facciamo..
Operation Procedure,Seguiamo i passaggi nell'ordine giusto
Operation Procedure,C'è una procedura precisa da rispettare
Operation Procedure,Facciamo un elenco delle cose da fare
Operation Procedure,"Prima questo, poi quello"
Operation Procedure,Serve uno schema preciso
Operation Procedure,"Andiamo con ordine, punto per punto"
Operation Procedure,Meglio seguire una lista dettagliata
Overture Act,Partiamo subito
Overture Act,Iniziamo oggi stesso
Overture Act,Facciamolo adesso
Overture Act,Non perdiamo altro tempo
Overture Act,Muoviamoci subito
Overture Act,Agiamo prima di pensarci troppo
Overture Act,Cominciamo immediatamente
Overture Act,Buttiamoci e vediamo cosa succede
Overture Act,Meglio fare che stare fermi
Overture Act,Diamoci da fare subito
Overture Reflect,Voglio ragionarci bene
Overture Reflect,Devo rifletterci su
Overture Reflect,Ho bisogno del tempo per decidere
Overture Reflect,Fammi pensare prima di rispondere
Overture Reflect,Meglio non affrettare le cose
Overture Reflect,Prendiamoci il tempo necessario
Overture Reflect,Voglio valutare bene i pro e i contro
Overture Reflect,Non voglio decidere di getto
Overture Reflect,Lasciami dormirci sopra
Overture Reflect,Prima di agire voglio essere sicuro
Changes Innovator,Vorrei rivoluzionare tutto
Changes Innovator,Ho bisogno di qualcosa di nuovo
Changes Innovator,Proviamo un approccio diverso
Changes Innovator,Basta con le solite cose
Changes Innovator,Mi piace sperimentare novità
Changes Innovator,Cambiamo completamente strategia
Changes Innovator,Cerchiamo una soluzione originale
Changes Innovator,Rompiamo gli schemi
Changes Innovator,Voglio innovare il modo in cui lo facciamo
Changes Innovator,Perché non provare qualcosa di mai fatto prima?
Changes Traditional,Squadra che vince non si cambia!
Changes Traditional,Preferisco il sentiero battuto
Changes Traditional,Meglio non rischiare con novità inutili
Changes Traditional,Continuiamo a fare come sempre
Changes Traditional,"Se ha sempre funzionato, perché cambiarlo?"
Changes Traditional,Restiamo sul collaudato
Changes Traditional,Non serve stravolgere tutto
Changes Traditional,Manteniamo le nostre abitudini
Changes Traditional,Meglio la sicurezza del solito metodo
Changes Traditional,Le cose vanno bene così come sono
Focus Distracted,Pensare fuori dagli schemi
Focus Distracted,Esplorare prima tutte le possibilità
Focus Distracted,Guardiamo un po' tutto prima di scegliere
Focus Distracted,Mi piace saltare da un argomento all'altro
Focus Distracted,Teniamo aperte più piste insieme
Focus Distracted,Vediamo diverse opzioni in parallelo
Focus Distracted,Non voglio fermarmi su un solo aspetto
Focus Distracted,Passiamo in rassegna varie idee
Focus Distracted,Mi distraggo facilmente su nuovi spunti
Focus Distracted,Preferisco avere una visione ampia su tutto
Focus Immersive,Restiamo su questo punto
Focus Immersive,Approfondiamo questo argomento
Focus Immersive,Concentriamoci solo su questo per ora
Focus Immersive,Non passiamo oltre finché non è chiaro
Focus Immersive,Voglio finire una cosa prima di iniziarne un'altra
Focus Immersive,Mi immergo completamente in questo dettaglio
Focus Immersive,Fermiamoci qui e analizziamolo a fondo
Focus Immersive,"Un argomento alla volta, per favore"
Focus Immersive,Diamo priorità a questo singolo aspetto
Focus Immersive,Voglio scavare a fondo su questo punto
Subordination Commanders,Fai come dico io
Subordination Commanders,Decido io per tutti
Subordination Commanders,Prendo io il comando
Subordination Commanders,Da qui in poi guido io
Subordination Commanders,Ci penso io a organizzare tutto
Subordination Commanders,Seguite le mie indicazioni
Subordination Commanders,Assegno io i compiti
Subordination Commanders,La responsabilità finale è mia
Subordination Commanders,Voglio essere io a decidere come procedere
Subordination Commanders,Mi prendo io la guida del gruppo
Subordination Workers,Dimmi cosa devo fare
Subordination Workers,Seguo le istruzioni
Subordination Workers,Faccio quello che mi viene chiesto
Subordination Workers,Aspetto indicazioni prima di agire
Subordination Workers,Mi adeguo a quello che decide il gruppo
Subordination Workers,Preferisco eseguire piuttosto che decidere
Subordination Workers,Ditemi come devo comportarmi
Subordination Workers,Mi affido a chi guida
Subordination Workers,"Va bene, faccio come stabilito"
Subordination Workers,Aspetto ordini chiari prima di procedere
